"feature","article_title","matched_phrase","review_label","review_comment"
"F1","Ankylosauria","Konjunktiv-II:könnte","Correct detection","The modal subjunctive marks a hypothetical theory about the tail club and fits epistemic hedging."
"F1","Britische Mount-Everest-Expedition 1922","möglich","Correct detection","Möglich expresses possibility within a reported assessment about survival at altitude."
"F1","Diolkos","Konjunktiv-II:dürfte","Correct detection","Dürfte marks an inferential estimate rather than a categorical assertion."
"F1","Diolkos","Konjunktiv-II:könnte","Correct detection","Könnte marks uncertainty about the location of the Diolkos mentioned in the source."
"F1","Elisabeth von Weida","anscheinend","Correct detection","Anscheinend explicitly signals evidential uncertainty about her correspondence and knowledge."
"F1","Elisabeth von Weida","Konjunktiv-II:könnte","Correct detection","Könnte introduces a plausible but uncertain explanation for her attraction to Luther's teaching."
"F1","Entführung von Michal Kováč jun.","möglich","Correct detection","Möglich qualifies the legal feasibility of extradition and functions as an epistemic hedge."
"F1","Evolutionärer Humanismus","glauben","Ambiguous","Glauben refers to members believing an idea system, which is epistemic but closer to belief content than authorial hedging."
"F1","Francis Bacon","glauben","Possible false positive","Glauben appears as the noun belief in a religious/philosophical contrast rather than as a hedge."
"F1","Löffelhund","Konjunktiv-II:könnte","Correct detection","Könnte marks uncertainty in a phylogenetic claim about the nearest relative."
"F1","MHealth","Konjunktiv-II:könnten","Correct detection","Könnten presents a potential effect of campaigns rather than an asserted outcome."
"F1","Mesolongi","wohl","Correct detection","Wohl softens the estimate of survivors and signals inferential uncertainty."
"F1","Montessori Biberkor","möglich","Ambiguous","Möglich denotes institutional permissibility of changing school type, not necessarily epistemic uncertainty."
"F1","Naturwissenschaft und Religion","glauben","Possible false positive","Glauben appears as religious belief contrasted with knowledge rather than as a hedge."
"F1","Neoarchaikum","womöglich","Correct detection","Womöglich is an explicit uncertainty marker about phosphorus limitation."
"F1","Neukirchen (Gemeinde Altmünster)","vielleicht","Correct detection","Vielleicht marks uncertainty about which Marian feast day is meant."
"F1","Schlangenadler","offenbar","Correct detection","Offenbar signals inference from evidence about prey preference."
"F1","Schloss Beuggen","wohl","Correct detection","Wohl qualifies the orientation of the second church as an uncertain reconstruction."
"F1","Schloss Beuggen","Konjunktiv-II:könnte","Correct detection","Könnte marks uncertainty about where the second church stood."
"F1","Schloss Beuggen","unklar","Correct detection","Unklar explicitly identifies the castle location as uncertain."
"F3","Angela Merici","Konjunktiv-I:verbringe","Correct detection","The Konjunktiv I form presents reported information about her practices rather than direct assertion."
"F3","Austerität","Konjunktiv-I:diene","Correct detection","Diene is reported-speech morphology and fits the feature's indirect attribution component."
"F3","Evolutionärer Humanismus","die meisten","Correct detection","Die meisten is a broad quantifier that generalizes over members without exact scope."
"F3","Günther Anders","Konjunktiv-I:empfinde","Correct detection","Empfinde appears in an indirect-speech sequence and matches the Konjunktiv I component."
"F3","Karl Haushofer","Konjunktiv-I:gehe","Correct detection","Gehe reports the content of what he learned and fits indirect speech marking."
"F3","Ludwig-Boltzmann-Institut für Funktionelle Hirntopographie","wenige","Correct detection","Wenige gives an approximate quantity rather than a precise measurement."
"F3","Naturwissenschaft und Religion","Konjunktiv-I:ausreiche","Correct detection","Ausreiche occurs in reported/attributed stance and matches Konjunktiv I morphology."
"F3","Propaganda im Ersten Weltkrieg","zahlreiche","Correct detection","Zahlreiche is an imprecise quantifier over war crimes."
"F3","Regenbaum","die meisten","Correct detection","Die meisten is a broad quantifier over fruits without an exact count."
"F3","Reinhold Tüxen","Konjunktiv-I:handele","Correct detection","Handele is embedded in a criticism of vague claims and is a plausible weasel/indirect-speech signal."
"F3","S-Bahn Zürich","Konjunktiv-I:fahrende","Possible false positive","Fahrende is an attributive participle, not a Konjunktiv I reporting form."
"F3","Schlangenadler","bedeutend","Ambiguous","Bedeutend is evaluative/intensifying, but here it modifies a comparative biological description rather than contested phrasing."
"F3","Schulweg","die meisten","Correct detection","Die meisten generalizes over child fatalities while providing only partial exact context."
"F3","Uralische Sprachen","es wird angenommen","Correct detection","Es wird angenommen is a vague attribution phrase introducing an assumed historical reconstruction."
"F3","Witness Lee","Konjunktiv-I:führe","Correct detection","Führe occurs in indirect exposition of doctrinal claims and fits reported-speech morphology."
"F3","Witness Lee","Konjunktiv-I:ausführe","Correct detection","Ausführe is part of the same indirect doctrinal statement and matches Konjunktiv I reporting."
"F3","Wittem-Projekt","eine reihe von","Correct detection","Eine Reihe von is an imprecise quantity expression."
"F3","Ästhetische Theorie","Konjunktiv-I:äußere","Correct detection","Äußere reports a theoretical position in indirect speech and matches Konjunktiv I morphology."
"F3","Ästhetische Theorie","Konjunktiv-I:lasse","Correct detection","Lasse appears in a reported Adorno claim and fits the indirect-speech component."
"F3","Ökostrom","zahlreiche","Correct detection","Zahlreiche gives an approximate count of smaller providers."
"F4","Atari Teenage Riot","neutral:schrieb/schreiben","Correct detection","Schrieb introduces a cited article and is a neutral attribution verb."
"F4","Chronik des Kriegs in Nahost, Dezember 2024 und Januar 2025","neutral:mitteilte/mitteilen","Correct detection","Mitteilte attributes an official communication neutrally."
"F4","Diolkos","neutral:erwähnte/erwähnen","Correct detection","Erwähnte neutrally attributes a mention to Xenokrates."
"F4","Entführung von Michal Kováč jun.","neutral:berichtete/berichten","Correct detection","Berichtete attributes information to a newspaper in a neutral reporting frame."
"F4","Entführung von Michal Kováč jun.","biased:beschuldigte/beschuldigen","Correct detection","Beschuldigte frames the attribution as an accusation and fits biased attribution."
"F4","Francis Bacon","biased:Behauptungen/behauptung","Ambiguous","Behauptungen carries a claim-framing sense, but the sentence discusses epistemology generally rather than attributing a claim to a source."
"F4","GEMA-freie Musik","neutral:erklärt/erklären","Ambiguous","Erklärt is a neutral attribution verb, but the extracted sentence fragment lacks enough context to verify the attribution frame."
"F4","Handelsgeschäft","biased:Forderung/forderung","Possible false positive","Forderung is used in the legal sense of a creditor's claim rather than as a biased attribution frame."
"F4","Naturwissenschaft und Religion","neutral:erklären/erklären","Possible false positive","Erklären means to explain the world, not to attribute a statement to a source."
"F4","Neokatechumenaler Weg","neutral:berichtet/berichten","Correct detection","Wird berichtet neutrally attributes reports of problems to external sources."
"F4","Partidul Social Democrat European","neutral:Erklärung/erklärung","Ambiguous","Erklärung refers to an adopted declaration, which is communicative but not clearly a reporting attribution in the sentence."
"F4","Partidul Social Democrat European","neutral:sagte/sagen","Correct detection","Sagte introduces a politician's statement and is a neutral attribution verb."
"F4","Reinhold Tüxen","biased:kritisierte/kritisieren","Correct detection","Kritisierte explicitly frames the attributed content as criticism."
"F4","Sanktuarium der Barmherzigkeit Gottes","neutral:sagte/sagen","Correct detection","Sagte introduces a quoted utterance and is a neutral attribution frame."
"F4","Sanktuarium der Barmherzigkeit Gottes","biased:rechtfertigt/rechtfertigen","Possible false positive","Rechtfertigt describes theological justification by water, not a source's defensive attribution frame."
"F4","Schulpflicht","biased:kritisiert/kritisieren","Correct detection","Es wird kritisiert introduces a critical attribution."
"F4","Schulpflicht","biased:unterstellt/unterstellen","Correct detection","Unterstellt frames the attributed claim as imputing motives or deficiencies."
"F4","Transzendentale Meditation","neutral:berichteten/berichten","Correct detection","Berichteten introduces the findings discussed by named authors in a neutral reporting frame."
"F4","Weinbau in Kanada","neutral:berichtete/berichten","Correct detection","Berichtete neutrally attributes a historical account to Adam von Bremen."
"F4","Weltraumhabitat","neutral:beschrieb/beschreiben","Correct detection","Beschrieb neutrally attributes an idea to a published book."
"F6","Andor Ákos","während","Possible false positive","Während is temporal here and does not express contrast."
"F6","Chronik des Kriegs in Nahost, Dezember 2024 und Januar 2025","sondern","Correct detection","Sondern contrasts the expected start time with the actual later start."
"F6","Etikettierungsansatz","sondern","Ambiguous","Sondern appears in a nicht nur...sondern auch construction, which is additive as well as contrastive."
"F6","Fish and Chips","aber","Correct detection","Aber contrasts British chips with the German usual form."
"F6","George Mason","hingegen","Correct detection","Hingegen explicitly contrasts the evaluation of Virginia's constitution with another case."
"F6","Günther Anders","aber","Correct detection","Aber creates a contrastive turn in the philosophical claim."
"F6","Judentum in Afrika","sondern","Ambiguous","Sondern occurs in nicht nur...sondern auch, functioning mainly as additive extension."
"F6","Mary Baker Eddy","sondern","Correct detection","Sondern contrasts not being a scientific work with illustrating healing possibilities narratively."
"F6","Metallica (Album)","dennoch","Correct detection","Dennoch marks a concessive contrast between private resistance and eventual persuasion."
"F6","Parkeisenbahn Wuhlheide","jedoch","Correct detection","Jedoch contrasts the original 15-PS concept with later 10-PS construction."
"F6","Politikverdrossenheit","dagegen","Correct detection","Dagegen contrasts younger cohorts with an earlier comparison group."
"F6","Slughorn","aber","Correct detection","Aber contrasts the word's actual historical meaning with later slogan meanings."
"F6","Staat","sondern","Correct detection","Sondern contrasts a predecessor state interpretation with identity as the same state."
"F6","Street Football/Episodenliste","während","Possible false positive","Während is temporal/simultaneous here rather than contrastive."
"F6","Tuileriensturm","aber","Correct detection","Aber introduces a contrast between capture alive and later killing."
"F6","Ungarische Notation","allerdings","Ambiguous","Allerdings signals a mild concession, but the sentence is mostly evaluative rather than a strong contrast."
"F6","Wechselwirkende Galaxien","allerdings","Correct detection","Allerdings introduces a qualification about gas clouds that contrasts with the surrounding comparison."
"F6","Witness Lee","aber","Ambiguous","Aber occurs in an incomplete fragment and appears closer to aber auch additive use than clear contrast."
"F6","Yorktown-Klasse (1937)","allerdings","Correct detection","Allerdings marks a concessive explanation about unavailable design resources."
"F6","Zwinger (Münster)","während","Possible false positive","Während is temporal during an exhibition and not a contrastive transition."
